Username,total_likes,total_videos
theonlyhaven,60.0M,1.8K
turquoise.dec,33.1M,188
ttalgi.ellie,39.4K,196
srsaskin_,17.1K,52
_anjello,8.6K,153
jf.skin24,6.1K,122
cinthia_dosamples,9.8K,237
lee.ly1012,6.3K,247
prettywrinkles,4.0K,24
xevelynluu,674.5K,16
chloelouiseliveslife,542.5K,561
melissahemmingsley,608.5K,1.2K
kbootyjenny,,
skincare.ninja,6.0M,318
ugc_withjessi,3.9K,148
so.calmama,136.6K,1.3K
jessicaroseugc,20.2K,429
kayskwa,1.8M,697
jennasiee,8.5M,89
ugcxmichelle,5.8K,121
autumnsaro,2.1M,288
tinaangelinaaa,1.2M,2.5K
crystalschob3,7.5K,50
life.w.lex4,22.9K,315
jensnomz,57.9K,395
srsdigitaldiary,153,3
eloise_ugc,69.6K,53
shellllls_lifeeee,24.5K,498
xokena_,9.6K,106
mindfulugc,38.9K,43
nooni.ugc,210.3K,173
heyitsaliquinn,29.7K,218
glo.ssary,918.5K,1.3K
ugc.karla,,
pretty.squirrelss,3.7M,1.6K
danielaapryl,69.1K,201
allbriwoo,266.4K,202
grw.alii_,19.6K,6
jilliangottlieb,18.4M,3.0K
_taniagrover,413.3K,1.6K
zhala.beauty,179.0K,194
skinbykristin,7.3M,1.9K
lifewtamia,1.0M,242
sunscreen.addict,50.4K,408
toninlanaa,1.1M,118
ft.angela,198.3K,78
pinaydora,22.4K,270
yangmediary,15.3K,744
d_dudley4,10.4K,398
beauty__bymegs,5.6K,77
witandarte,6.4K,198
beautycloudlove,599.4K,
psdiwan22,2.2K,98
auraofmahmuda,59.0K,368
vickyoffishal,2.5M,815
__allaboutskincare__,334,15
klymi.na,579.7K,84
jeracoolio,197.6K,74
razan.alani,13.2K,7
angelinajarboe,741.1K,865
waves_for_dayzz,74.4K,174
jmeans77,7.2K,183
carmelk1,162,6
ouibutnon,17.4K,278
skincredibles,121.7K,152
kenandmal,110.7M,1.3K
jamesslushie,53.3K,277
_chicpick,15.7K,348
aroundtheplanetandback,11.4K,52
itsomalherself,5.1K,249
skincarenotes,5.7K,38
hannie.skin,132.7K,362
skin_with_zee,3.8K,84
bel1amur,23.5K,209
laurynslocs,1.1K,15
ksuuuushaxx,8.4M,17
ugc_emma9,1.1K,40
loriebelle.ugc,153.3K,205
ugcwithsahar,2.4K,13
lovinglynat,11.7K,165
lindsaymae_,121.7K,651
glowwithhima,190,12
kimglamglow,399,20
allansgirl_,3.8K,86
upasanaarora,43,3
natik4s,11.1K,523
natik4s,11.1K,523
natik4s,11.1K,523
natik4s,11.1K,523
reviews_by_bee,4.1K,58
ugcwithjag,1.2K,33
hushhalohue,2.1K,43
_just.livinggg_,1.6K,90
glow.like.korea,1.2K,9
britnorman_,288.0K,381
lexlovesmakeup,3.4K,128
exquisiteexplorerig,17.6K,728
yepmanythings,4.6K,200
imjustagirl368,1.3M,782
xo.lolaenriquez.xo,4.2K,115
westclau_,1.8M,298
shannenbudihardjo,2.2K,79
blossom5113,371.6K,367
itsugcgirl,291,18
its.mawii,4.8K,313
natik4s,11.1K,523
natik4s,11.1K,523
natik4s,11.1K,523
natik4s,11.1K,523
roselinni_,24.6K,287
bebethssi,341.4K,477
h.annahyu,6.8K,59
topnotchmarvellous,49.4K,1.3K
rawanalani4,448.7K,1.3K
torilatise,1.3M,1.2K
neetimathur0,2.3K,38
ugc.fer,2.8K,62
etherealskinwithrinny,16.3K,48
glowithtay,21.8K,86
skinwithhillaryy,147.5K,62
megnugs2,92.3K,236
alotta_reviews,6.4K,382
addicted.to.skincare,1.4M,19
beautycarebydrhind,258,39
s.beauty.makeup12,17.3K,275
thiglossglow,2.7K,74
pocketlifestyle__,91,7
voguereview,38.6K,281
sydneychriistensen,1.2M,293
life.bynoeee,3.8K,102
quyen.la,21.7K,172
jayanne.roller,1.3K,32
adriannamg12,6.5K,209
itsreal_lmb,1.5M,307
lovebirsu,150.4K,84
clahh__,1.9K,1
_dollylqve,61.2K,30
yunalome,582.1K,250
glowingskinmadie,2.0K,67
dyknicx,30.7K,177
vannahluv,189.4K,1.1K
teresatpham,453.5K,235
cla.audia,1.0M,1.5K
kimberly.cat,16.3M,717
regina_ugc_,192.6K,216
melii.mar_,13.6K,96
evesbeautylife,8.4K,97
urcreatorsophia,1.8K,78
skincare_with_kylie,1.9K,141
louysasdiaries,158.6K,124
lisaameyy,8.2K,154
her.lifestyle.pri,24.6K,332
ggiuliarus,,
curly.qaya,26.0K,140
Hikarifleurr,7.2M,2.2K
tatgiraldi ,2.5M,79
jocy.cs ,16.8M,124
sydnie_1209,3.1K,105
highimdalilah,837,23
dearrruzzi,42.7K,137
itsfufumochii,39.9K,62
chloemedeiros,6.3K,105
paolainatl,32.4K,82
happy.bluedino,19.9K,179
nghibui_i,36.0K,26
ninislildiary,33.6K,60
bythreewishes,69.2K,45
xo.yokov,332.4K,167
heyitsclarissaa,472.3K,83
nakeziaa,3.3M,468
teacuppuppycoco,44.8K,1.7K
strawberry_shalyn,96.2K,1.7K
Thatbaileygal,0,1
sophie_bskin,7.1K,78
itsbreeeva,21.2K,320
rosaliebriere,149.2K,363
thekimedit,39.3K,424
thebeautymolecule,139.3K,230
im.gis3lle,4.8K,126
im.gis3lle,4.8K,126
im.gis3lle,4.8K,126
im.gis3lle,4.8K,126
im.gis3lle,4.8K,126
im.gis3lle,4.8K,126
im.gis3lle,4.8K,126
im.gis3lle,4.8K,126
what_can_i_buy,7.2K,293
Rosemarie.loves,13.6K,431
victoriahui,1.2M,1.8K
muji_bee,158.8K,363
nikkkaayy_,69,9
edli.ugc,7.3K,172
yt.jichelleirish,2.2K,130
newa_supriya,26.1K,533
creativelyamanda,1.8K,21
ugcwithb__,364,32
sunshinefairy444,3.2K,12
sophia.cathyy,0,0
sailormina_,30.5K,261
glowinthegram,5.0K,66
ericaz_ugc,122,8
ugc_byivanna,6.2K,89
krisoncamera,511,5
ugc.by.iri,1.0K,25
aeht.ugc,4.8K,78
lovelyleilani.ugc,,
honest_recs,1.8K,81
by_ashmariee,6.1K,136
almostsimplysky,29.8K,260
lukyss_09p,205,27
amirka08,6.3K,332
chilibeauty1201,2.6K,95
tatiana.ptrnina,7.1K,301
abigail.ugc.creator,98,6
trxlyadria,19.3K,229
skinwsara,356,11
miralii.m,9.2K,100
_janessam,25.0K,160
annahostriakova,4.4K,156
ibubblii,1.8K,45
beautyfanaticjenn,258,4
glowyyclover,785,11
ugcwithedwina,7.1K,103
christineeugc,9.2K,179
renlauskin,9.3K,85
pixelheartsbeauty,770,28
jelloskinsecrets,11.0K,143
ugc_adriiana,923,51
skin_likee,430.1K,134
glowological,13.4K,591
hola.danielaxoxo,4.4K,114
vera_kskincare,88.1K,585
luv4ikeuuu,1.2M,245
kat.iveth1,112.3K,632
fabulous.mira.skincare,6.2K,63
ugcale,590,15
skinbyhelen,8.6M,749
ellasolves,1.1M,4.2K
skinwithe1,18.2K,410
ugcwithmeriem,888,38
joselinastyle,39.9K,378
starfaceorganics,48.2K,983
ishmadiaries,54.6K,454
stanskincare,515,26
itshazeldiaries,10.5K,515
skinwithclods,14.9K,111
greyyychoi,145.6K,321
heartz4pitii,824.0K,128
mattrandon,52.1M,2.4K
melon_park,58.3M,450
_lilyis,26.9M,798
keytoglo,996,29
abbyrosemaureen,625.4K,731
kiki.dee__,822,7
denitsab3auty,9.0K,149
lilac__05,24.0K,203
dreamyglowyskin,1.3K,32
bethyful_kbeauty,12.0K,333
maddysbeautytalk,6.0K,148
lovemisomeskin,22.7K,161
ugcwithkpm,2.9K,111
betweendots,2.9K,101
chen.ugc,16.2K,68
pinksandrosie,4.3K,82
aera.ugc,1.1K,9
skincarewithxia_,11.8K,205
skinhippie27,20.4K,352
klea.sotiri,28.1K,61
zahraxbeauty,10.3K,117
katysayfi,19.5K,124
sonuugrg_,40.9K,257
anika_kozlova,1.2M,483
itstessjohnson,10.3K,274
looksbyhiba,9.0K,416
itsmelissaga,458.4K,292
zoe.aesthetic.grw,7.2K,105
thedikshadiary,1.7K,30
akshayareddykontham,204,11
lifestylewithfatima,180.4K,522
bosslady__carla,188.2K,901
thehydratedhunny,39.3K,325
grace_forevermore_,29.4K,85
brendasbeautyblog_,5.1K,296
curateandglow,11.6K,252
nizvetsbeautydiaries,10.7K,625
hijabiskinfluencer,19.2K,233
skincarepessimist,418,11
mottaskin,127.9K,281
zwonylen,1.4M,123
stephaniienini,72.1K,298
glam._diaries,25.2K,126
sashask1n,31.9K,237
ugc.by.zainab,4.6K,92
dearkisha_,20.6K,260
nattylattie,3.8K,85
celinedamji,15.3K,209
liansloves,500.4K,111
andie_sorto,36.3K,651
melinamujer,4.0K,135
irisoyeon_,2.7K,63
arvika_j,15.K,78
_arishasheikh,5.5K,116
hanahdewybae,590.0K,1.8K
gemavm10,4.1K,44
keirrawebster,183.2K,2.2K
ugcbyjamie,369.7K,105
badblory,234.5K,1.1K
sya.skin,110.6K,137
skincarewithbrit_,7.4K,301
skincareuprising,14.3K,236
beauty_viridiana_,84.9K,602
emileerachel,6.9K,278
timeforrice,4.2K,187
jhamheartsthis,164.1K,298
aglimpseofglow,2.6K,55
mariana.ugc,4.2K,101
tashfia____,21.7K,49
