년월,평균기온(℃),평균최저기온(℃),평균최고기온(℃),평균 강수량(mm),미세먼지,관중수,경기당 관중수,더비매치 수
2018-03-01,7.9,2.1,14.1,114.075,49.0,176387.0,8018.0,4.0
2018-04-01,13.1,7.0,19.5,125.2125,56.0,151995.0,4000.0,3.0
2018-05-01,17.7,12.4,23.3,131.075,43.0,135081.0,5628.0,3.0
2018-07-01,26.6,22.6,31.5,153.8875,28.0,180025.0,5001.0,4.0
2018-08-01,27.1,23.1,32.1,294.3375,24.0,167477.0,4785.0,2.0
2018-09-01,20.2,15.9,25.1,140.975,24.0,198168.0,6393.0,4.0
2018-10-01,12.7,7.5,19.0,161.45,33.0,102095.0,5672.0,1.0
2018-11-01,7.7,2.6,14.2,54.425,56.0,83228.0,4624.0,2.0
2018-12-01,0.8,-3.9,6.1,37.775,45.0,46864.0,7811.0,1.0
2019-03-01,7.2,1.3,13.6,39.2875,62.0,257880.0,10745.0,2.0
2019-04-01,11.7,5.9,17.9,73.35,42.0,203231.0,6774.0,3.0
2019-05-01,18.4,11.5,25.4,41.475,50.0,236313.0,7877.0,3.0
2019-06-01,21.2,16.5,26.7,146.1375,33.0,198506.0,8631.0,3.0
2019-07-01,24.7,21.3,28.9,250.6625,27.0,217500.0,7016.0,5.0
2019-08-01,26.0,22.1,30.8,161.55,28.0,210655.0,8102.0,2.0
2019-09-01,21.5,17.8,26.3,261.65,25.0,198180.0,7622.0,4.0
2019-10-01,15.5,10.7,21.3,121.55,32.0,142235.0,7112.0,5.0
2019-11-01,8.4,3.1,14.9,50.85,41.0,125043.0,8336.0,2.0
2019-12-01,2.5,-2.1,7.8,34.125,39.0,37518.0,12506.0,1.0
2020-05-01,17.6,12.6,23.1,72.425,34.0,0.0,0.0,2.0
2020-06-01,22.7,18.2,28.0,195.7875,34.0,0.0,0.0,5.0
2020-07-01,22.5,19.6,26.2,439.225,20.0,0.0,0.0,4.0
2020-08-01,26.4,23.5,30.5,374.325,24.0,31956.0,1065.0,3.0
2020-09-01,20.1,16.3,24.9,211.625,22.0,0.0,0.0,5.0
2020-10-01,13.7,8.3,20.0,15.175,34.0,37675.0,1794.0,7.0
2020-11-01,8.5,3.4,14.2,53.5125,38.0,17009.0,5670.0,0.0
2021-02-01,3.4,-2.2,9.4,23.975,43.0,15381.0,3845.0,1.0
2021-03-01,8.7,3.1,14.8,104.7375,65.0,70500.0,2203.0,5.0
2021-04-01,13.2,7.3,19.3,75.7625,41.0,69581.0,1881.0,5.0
2021-05-01,16.6,11.4,22.2,142.775,52.0,74763.0,2266.0,3.0
2021-06-01,21.7,17.5,26.7,113.1,32.0,8993.0,1799.0,0.0
2021-07-01,26.0,22.2,30.8,206.125,22.0,6643.0,738.0,2.0
2021-08-01,24.8,21.5,29.2,329.175,21.0,41487.0,1152.0,4.0
2021-09-01,21.3,17.7,25.8,180.9,17.0,32034.0,1186.0,6.0
2021-10-01,15.1,10.4,21.2,40.4375,27.0,30258.0,1441.0,2.0
2021-11-01,8.3,3.3,14.5,59.8375,40.0,62384.0,3466.0,1.0
2021-12-01,1.9,-3.1,7.4,8.175,36.0,32449.0,5408.0,0.0
2022-02-01,-0.1,-5.4,5.7,4.8375,37.0,52370.0,4364.0,2.0
2022-03-01,7.7,2.0,13.7,83.4375,42.0,75978.0,3166.0,3.0
2022-04-01,13.8,7.5,20.4,66.2875,39.0,69910.0,3884.0,1.0
2022-05-01,18.0,11.5,24.6,6.575,33.0,192197.0,5339.0,4.0
2022-06-01,22.4,18.3,27.2,185.7625,22.0,92421.0,5135.0,3.0
2022-07-01,25.9,22.5,30.3,169.2875,22.0,130793.0,4360.0,3.0
2022-08-01,25.3,22.1,29.1,323.8625,19.0,145775.0,4859.0,3.0
2022-09-01,21.0,16.6,26.3,168.9,22.0,146521.0,4884.0,5.0
2022-10-01,14.0,8.9,20.1,56.8,26.0,193096.0,6437.0,4.0
2023-02-01,2.5,-2.8,8.5,21.9125,43.0,101632.0,16939.0,3.0
2023-03-01,9.4,2.7,16.5,36.5875,64.0,172558.0,9587.0,0.0
2023-04-01,13.1,7.1,19.1,64.875,65.0,344978.0,9583.0,3.0
2023-05-01,17.9,12.4,23.6,209.775,37.0,309937.0,10331.0,4.0
2023-06-01,22.3,18.0,27.5,164.525,26.0,248346.0,10348.0,4.0
2023-07-01,25.5,22.4,29.6,485.3125,24.0,292252.0,9742.0,4.0
2023-08-01,26.4,22.9,30.9,299.475,22.0,267906.0,11163.0,1.0
2023-09-01,22.6,19.0,27.1,198.1,21.0,267080.0,12140.0,4.0
2023-10-01,14.7,9.6,21.1,16.05,28.0,217416.0,10871.0,1.0
2023-11-01,7.9,2.9,13.5,54.975,29.0,140543.0,11712.0,4.0
2023-12-01,2.4,-2.1,7.3,102.9,35.0,84499.0,14083.0,1.0
2024-03-01,6.9,1.4,12.6,67.225,45.0,341799.0,14242.0,5.0
2024-04-01,14.9,9.4,21.1,70.1625,50.0,297552.0,9598.0,1.0
2024-05-01,17.7,11.8,24.0,101.075,30.0,346383.0,9897.0,2.0
2024-06-01,22.7,17.5,28.4,133.1125,29.0,297609.0,9920.0,3.0
2024-07-01,26.2,23.3,29.9,360.425,19.0,286863.0,9562.0,4.0
2024-08-01,27.9,24.1,33.0,89.6,22.0,241733.0,12087.0,2.0
2024-09-01,24.7,20.9,29.6,198.925,18.0,266129.0,12097.0,1.0
2024-10-01,16.1,11.9,21.4,119.8375,23.0,182998.0,10167.0,2.0
2024-11-01,9.7,4.9,15.6,92.9875,26.0,247519.0,13751.0,0.0
