년월,강수량(mm),강수량(mm),강수량(mm),강수량(mm),강수량(mm),강수량(mm),강수량(mm),강수량(mm),평균 강수량(mm)
Jan-18,8.5,40.9,21.1,4.5,23.9,58,31.3,28.4,27.075
Feb-18,29.6,52.5,25.1,27,40.5,86.6,44.8,21.5,40.95
Mar-18,49.5,206.1,98.7,78.6,108.4,118,155.3,98,114.075
Apr-18,130.3,156.4,113,112.2,155.3,112.5,123.3,98.7,125.2125
May-18,222,155.8,99.7,158.9,95.9,98.8,95.4,122.1,131.075
Jun-18,171.5,276.7,121.1,144,115.8,211.1,127.6,137.2,163.125
Jul-18,185.6,122.1,169.6,148.8,226.9,48.7,160.3,169.1,153.8875
Aug-18,202.6,169.7,334.2,214.9,408.6,376.5,279.3,368.9,294.3375
Sep-18,68.5,308.4,109,46.1,149.4,187.7,156.9,101.8,140.975
Oct-18,120.5,123.7,165.1,116.2,133.9,347,162,123.2,161.45
Nov-18,79.1,107.3,17.2,66.6,49.8,28.6,51.8,35,54.425
Dec-18,16.4,59,23.8,16.6,33.7,96,28.1,28.6,37.775
Jan-19,0,12.7,9.5,0.7,1.7,24.2,15.5,13.2,9.6875
Feb-19,23.8,51.5,26.2,26.6,46.3,37.9,38.8,39.1,36.275
Mar-19,26.8,75.4,20.7,28.4,33.7,55.5,40.7,33.1,39.2875
Apr-19,47.3,85,88,41.1,91.6,46.4,88.9,98.5,73.35
May-19,37.8,76.1,25.7,33.2,35.6,42.8,35,45.6,41.475
Jun-19,74,324.3,160.8,49.7,77.9,145.8,247.5,89.1,146.1375
Jul-19,194.4,358.9,139.4,220.8,199,510.1,206.5,176.2,250.6625
Aug-19,190.5,156.3,141.9,143.7,104.3,242.3,195.7,117.7,161.55
Sep-19,139.8,279,185.5,229,167,610.6,287.5,194.8,261.65
Oct-19,55.5,139.9,155.2,31.9,106.1,188.6,222.2,73,121.55
Nov-19,78.8,13.8,15.3,89.4,94,27.5,31,57,50.85
Dec-19,22.6,50.3,27.5,25,27,48.2,40.8,31.6,34.125
Jan-20,60.5,127.7,70.4,48.6,78.5,116.7,178.7,76.8,94.7375
Feb-20,53.1,94.9,40.2,49.7,91.2,29.8,53.6,65.9,59.8
Mar-20,16.3,58.8,24.5,10.7,24.4,81.6,41.6,25.4,35.4125
Apr-20,16.9,83.5,32.4,13.8,17.8,82.3,73.2,23,42.8625
May-20,112.4,96.2,38.1,101.2,80.4,20.6,51.5,79,72.425
Jun-20,139.6,321.1,185.3,100.2,192.5,221.5,218.6,187.5,195.7875
Jul-20,270.4,796.8,330.5,243.5,544.9,184.7,498.3,644.7,439.225
Aug-20,675.7,399.2,322.7,486.4,361.6,140.4,137.1,471.5,374.325
Sep-20,181.5,230.5,161,167.7,173.6,400.5,243,135.2,211.625
Oct-20,0,26.4,13.1,1.9,3.2,53.7,18.9,4.2,15.175
Nov-20,120.1,36.3,23.9,81.6,41.8,28.2,37.7,58.5,53.5125
Dec-20,4.6,10.2,2.8,6.6,4.1,29.5,5.7,9.1,9.075
Jan-21,18.9,25.8,11.9,20.8,23.6,116.6,20.6,28.7,33.3625
Feb-21,7.1,49.5,19.2,6.6,14.1,52.8,28.8,13.7,23.975
Mar-21,110.9,127.5,95.2,93.4,95.2,81.1,138.9,95.7,104.7375
Apr-21,124.1,107.1,43,116.9,47.4,58.8,73.9,34.9,75.7625
May-21,183.1,139.2,90.9,191.5,134.2,100.7,120.4,182.2,142.775
Jun-21,104.6,232.3,55.1,45.4,105.9,122.4,93.8,145.3,113.1
Jul-21,168.3,399.9,153.3,84.2,151.8,247.1,189.3,255.1,206.125
Aug-21,211.2,481.2,256.3,269,289.2,227.8,443.9,454.8,329.175
Sep-21,131,164.7,84.1,125.8,161.2,493.1,125.2,162.1,180.9
Oct-21,57,18.2,57.8,31.6,40.8,32.1,49,37,40.4375
Nov-21,62.4,57.9,43.1,79,41.7,63.8,49.7,81.1,59.8375
Dec-21,7.9,4.5,0.1,7.6,4.4,31.4,3.5,6,8.175
Jan-22,5.5,0,0,4.4,1.2,33.6,0.9,2.1,5.9625
Feb-22,4.7,0,0.1,2.7,1.4,25.1,2.2,2.5,4.8375
Mar-22,102.6,127.4,34.3,84.6,74,96.1,55.5,93,83.4375
Apr-22,20.4,130.6,38.5,21.1,69.7,84,81,85,66.2875
May-22,7.5,5.4,4.2,5.4,8.1,9.1,6.1,6.8,6.575
Jun-22,393.8,152,81.8,286,117.6,143.6,147.1,164.2,185.7625
Jul-22,252.3,145,88.8,215.2,195,149,125,184,169.2875
Aug-22,564.8,176.7,143.3,635.9,496.1,124.3,138.5,311.3,323.8625
Sep-22,201.5,162.4,114.2,167.8,90.2,265.8,284.8,64.5,168.9
Oct-22,124.1,9.7,25.6,102.1,89.3,22.1,30.4,51.1,56.8
Nov-22,84.5,61.3,46.6,81.3,45.8,87.8,44.9,77,66.15
Dec-22,13.6,21.4,3.6,14,14.7,35.3,9.7,30,17.7875
Jan-23,47.9,79.2,11.5,47.2,28.4,42.1,41.3,26.8,40.55
Feb-23,1,30,11.2,0.5,5.4,89.6,28,9.6,21.9125
Mar-23,10.5,76.2,27.3,10,23.8,49.6,68.3,27,36.5875
Apr-23,96.9,101.6,30.8,70.4,54.5,62.1,57.7,45,64.875
May-23,155.6,290.7,200,133.8,192.9,269.3,195.2,240.7,209.775
Jun-23,195.6,153.9,178.7,116.2,147.5,213,141.4,169.9,164.525
Jul-23,459.9,701.7,298.7,370.8,776.3,273.2,266.9,735,485.3125
Aug-23,298.1,299.9,312.8,297.5,326.9,182.5,403.3,274.8,299.475
Sep-23,134.5,322.7,123.6,129.2,310.2,84.5,276.7,203.4,198.1
Oct-23,31,4.2,5.7,16.8,12.2,36,4.3,18.2,16.05
Nov-23,81.9,28.5,31.6,63.1,40.3,69.1,33.1,92.2,54.975
Dec-23,85.9,102.8,89.9,75.9,124.1,73.9,126.7,144,102.9
Jan-24,18.9,40.6,21.4,16.3,47.8,93.4,42.3,54.6,41.9125
Feb-24,74.7,137.1,56.8,63.8,93.9,205.4,105.4,113.4,106.3125
Mar-24,29.9,102,70.9,19.2,57.9,98.1,80.2,79.6,67.225
Apr-24,33.2,166.8,60.6,35.3,32.7,80.2,99.1,53.4,70.1625
May-24,125.1,148.4,59.8,122.6,126.8,42.9,69.3,113.7,101.075
Jun-24,115.9,173.7,98.3,101.8,76.9,271.8,124.6,101.9,133.1125
Jul-24,557.3,362.4,372.2,342.9,485.1,156,209.2,398.3,360.425
Aug-24,72.8,86.5,118.3,86.7,87.3,47,89.1,129.1,89.6
Sep-24,143.9,420.3,151.5,122.9,204.6,126.2,237,185,198.925
Oct-24,74,208.8,94.9,82.1,109.2,135.2,174.3,80.2,119.8375
Nov-24,60,99.1,50.4,62.2,34.6,335.7,67.5,34.4,92.9875
Dec-24,5.7,0,1.3,5,3.7,5.8,0,14.3,4.475
