년월,평균 강수량(mm)
2018-01-01,27.075
2018-02-01,40.95
2018-03-01,114.075
2018-04-01,125.2125
2018-05-01,131.075
2018-06-01,163.125
2018-07-01,153.8875
2018-08-01,294.3375
2018-09-01,140.975
2018-10-01,161.45
2018-11-01,54.425
2018-12-01,37.775
2019-01-01,9.6875
2019-02-01,36.275
2019-03-01,39.2875
2019-04-01,73.35
2019-05-01,41.475
2019-06-01,146.1375
2019-07-01,250.6625
2019-08-01,161.55
2019-09-01,261.65
2019-10-01,121.55
2019-11-01,50.85
2019-12-01,34.125
2020-01-01,94.7375
2020-02-01,59.8
2020-03-01,35.4125
2020-04-01,42.8625
2020-05-01,72.425
2020-06-01,195.7875
2020-07-01,439.225
2020-08-01,374.325
2020-09-01,211.625
2020-10-01,15.175
2020-11-01,53.5125
2020-12-01,9.075
2021-01-01,33.3625
2021-02-01,23.975
2021-03-01,104.7375
2021-04-01,75.7625
2021-05-01,142.775
2021-06-01,113.1
2021-07-01,206.125
2021-08-01,329.175
2021-09-01,180.9
2021-10-01,40.4375
2021-11-01,59.8375
2021-12-01,8.175
2022-01-01,5.9625
2022-02-01,4.8375
2022-03-01,83.4375
2022-04-01,66.2875
2022-05-01,6.575
2022-06-01,185.7625
2022-07-01,169.2875
2022-08-01,323.8625
2022-09-01,168.9
2022-10-01,56.8
2022-11-01,66.15
2022-12-01,17.7875
2023-01-01,40.55
2023-02-01,21.9125
2023-03-01,36.5875
2023-04-01,64.875
2023-05-01,209.775
2023-06-01,164.525
2023-07-01,485.3125
2023-08-01,299.475
2023-09-01,198.1
2023-10-01,16.05
2023-11-01,54.975
2023-12-01,102.9
2024-01-01,41.9125
2024-02-01,106.3125
2024-03-01,67.225
2024-04-01,70.1625
2024-05-01,101.075
2024-06-01,133.1125
2024-07-01,360.425
2024-08-01,89.6
2024-09-01,198.925
2024-10-01,119.8375
2024-11-01,92.9875
2024-12-01,4.475
,
,
,
