년월,평균 강수량(mm),년월
01-Jan,28.37777778,Jan-18
18-Feb,38.84444444,
2018-03-01,114.2666667,
2018-04-01,125.4555556,
2018-05-01,126,
2018-07-01,169.7111111,
2018-08-01,146.1777778,
2018-09-01,305.7555556,
2018-10-01,139.7222222,
2018-11-01,157.4222222,
2018-12-01,53.62222222,
2019-03-01,37.17777778,
2019-04-01,10.43333333,
2019-05-01,36.35555556,
2019-06-01,38.68888889,
2019-07-01,74.61111111,
2019-08-01,45.62222222,
2019-09-01,147.4555556,
2019-10-01,249.7222222,
2019-11-01,150.8,
2019-12-01,251,
2020-05-01,124.7,
2020-06-01,47.73333333,
2020-07-01,33.84444444,
2020-08-01,92.53333333,
2020-09-01,58.46666667,
2020-10-01,36.31111111,
2020-11-01,44.24444444,
2021-02-01,75.13333333,
2021-03-01,196.2444444,
2021-04-01,449.6777778,
2021-05-01,414.7444444,
2021-06-01,207.9222222,
2021-07-01,14.83333333,
2021-08-01,50.71111111,
2021-09-01,10.14444444,
2021-10-01,33.32222222,
2021-11-01,24.76666667,
2021-12-01,106.7,
2022-02-01,71.14444444,
2022-03-01,142.4,
2022-04-01,113.6555556,
2022-05-01,208.5111111,
2022-06-01,330.2333333,
2022-07-01,175.3666667,
2022-08-01,39.86666667,
2022-09-01,62.72222222,
2022-10-01,8.055555556,
2023-02-01,5.333333333,
2023-03-01,4.6,
2023-04-01,85.85555556,
2023-05-01,64.41111111,
2023-06-01,5.888888889,
2023-07-01,179.7555556,
2023-08-01,169.2555556,
2023-09-01,299.7,
2023-10-01,160.0444444,
2023-11-01,54.74444444,
2023-12-01,63.98888889,
2024-03-01,19.21111111,
2024-04-01,39.02222222,
2024-05-01,21.12222222,
2024-06-01,36.38888889,
2024-07-01,65.05555556,
2024-08-01,207.5888889,
2024-09-01,195.2666667,
2024-10-01,507.4555556,
2024-11-01,304.1111111,
23-Sep,193.0333333,
23-Oct,15.54444444,
23-Nov,56.85555556,
23-Dec,100.3777778,
24-Jan,40.71111111,
24-Feb,106.8666667,
24-Mar,68.58888889,
24-Apr,71.21111111,
24-May,101.1777778,
24-Jun,134.8888889,
24-Jul,348.2,
24-Aug,94.32222222,
24-Sep,196.9777778,
24-Oct,117.4333333,
24-Nov,90.04444444,
24-Dec,5.066666667,
